parent_id,parent,reply,character
0,"Oh, I told you. I couldn’t close it. So…","So you’ve come to the master for guidance? Is this what you’re saying, grasshopper?",Michael
1,"Actually, you called me in here, but yeah.","All right. Well, let me show you how it’s done.",Michael
2,Well. I don’t know.,"If you think she’s cute now, you should have seen her a couple of years ago.",Michael
3,What?,Any messages?,Michael
4,"Uh, yeah. Just a fax.","Oh! Pam, this is from Corporate. How many times have I told you? There’s a special filing cabinet for things from corporate.",Michael
5,You haven’t told me.,It’s called the wastepaper basket! Look at that! Look at that face.,Michael
6,Whassup! I still love that after seven years.,Whassup!,Michael
7,Whassup!,Whass…up!,Michael
8,Whassup.,What?,Michael
9,Nothing.,OK. All right. See you later.,Michael
10,All right. Take care.,Back to work.,Michael
11,"Alright, was there anything you wanted to add to the agenda?",Um… Me no get an agenda.,Michael
12,What? I’m sorry?,I didn’t get any agenda.,Michael
13,"Well, I faxed one over to you this morning.",Really? I didn’t… Did we get a fax this morning?,Michael
14,"Uh, yeah, the one…","Why isn’t it in my hand? A company runs on efficiency of communication, right? So what’s the problem, Pam? Why didn’t I get it?",Michael
15,You put in the garbage can that was a special filing cabinet.,"Yeah, that was a joke. That was a joke that was actually my brother’s, and… It was supposed to be with bills and it doesn’t work great with faxes.",Michael
16,Do you want to look at mine?,"Yeah, yeah. Lovely. Thank you.",Michael
17,"OK. Since the last meeting, Ellen and the board have decided we can’t justify a Scranton branch and a Stamford branch.",OK…,Michael
18,"Michael, don’t panic.","No, no, no, no, this is good. This is good. This is fine. Excellent.",Michael
19,"No, no, no, Michael, listen OK. Don’t panic. We haven’t made… We haven’t decided.",All the alarm bells are kind of going… ringie-dingie-ding!,Michael
20,I’ve spoken to Josh in Stamford. I’ve told him the same as you and it’s up to either him or you to convince me that your branch can incorporate the other.,OK. No problem.,Michael
21,"This does, however, mean that there is going to be downsizing.","Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn’t wish that on Josh’s men. I certainly wouldn’t wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?",Michael
22,"Hey, you big queen.","Oh, that’s not appropriate.",Michael
23,"Hey, is old Godzillary coming in today?","Uh, I don’t know what you mean.",Michael
