quote_id,quote,character
0,"Yes, I’d like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. All right. Done deal. Thank you very much, sir. You’re a gentleman and a scholar. Oh, I’m sorry. OK. I’m sorry. My mistake. That was a woman I was talking to, so… She had a very low voice. Probably a smoker, so… So that’s the way it’s done.",Michael
1,"People say I am the best boss. They go, “God we’ve never worked in a place like this before. You’re hilarious.” “And you get the best out of us.” I think that pretty much sums it up. I found it at Spencer Gifts.",Michael
2,"Corporate really doesn’t really interfere with me at all. Jan Levinson Gould. Jan, hello. I call her Hillary Rodham Clinton. Right? Not to her face, because… well, not because I’m scared of her. Because I’m not. But, um… Yeah.",Michael
3,"Am I going to tell them? No, I am not going to tell them. I don’t see the point of that. As a doctor, you would not tell a patient if they had cancer.",Michael
4,"I think I’m a role model here. I think I garner people’s respect. Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",Michael
5,"People I respect, heroes of mine, would be Bob Hope… Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it’s really beyond words. It’s really incalculable.",Michael
6,"What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It’s the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, “Mr. Scott, would you be the godfather of my child?” Wow. Wow. Didn’t work out in the end. We had to let him go. He sucked.",Michael
7,"Today is diversity day and someone’s going to come in and talk to us about diversity. It’s something that I’ve been pushing, that I’ve been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think it’s very important that we have this. I’m very, very excited.",Michael
8,"How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I’m white and Chris is black?",Michael
9,Kevin is a great guy. He’s a great accountant. He is not much of an entertainer.,Michael
10,"“I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness…” Open-mindedness, is that even a word? “…into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck.” He’s going to lose it when he reads that.",Michael
11,"Hi. I’m Michael Scott. I’m in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I’m also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, “If you’re a racist, I will attack you with the North.” And those are the principles that I carry with me in the workplace.",Michael
12,"I have something here. I want you to take a card. Put it on your fore… Don’t look at the card. I want you to take the card and put it on your forehead and… Take a card, take a card, any card. Um… And I want you to treat other people like the race that is on their forehead. OK? So everybody has a different race. Nobody knows what their race is, so… I want you to really go for it, cause this is real. You know, this isn’t just an exercise. This is real life. And… I have a dream that you will really let the sparks fly. Get ‘er done.",Michael
13,Why? Because Martin Luther King is a hero of mine. There’s this great Chris Rock bit about how streets named after Martin Luther King tend to be more violent. I’m not going to do it but it’s…,Michael
14,"You’ll notice I didn’t have anybody be an Arab. I thought that would be too explosive. No pun intended. But I just though. “Too soon for Arabs.” Maybe next year. Um… You know, the ball’s in their court.",Michael
15,Talk like you’re talking to that race. I have a feeling that this could get kind of volatile. So keep it going.,Michael
16,"The most sacred thing I do is care and provide for my workers, my family. I give them money. I give them food. Not directly, but through the money. I heal them. Today, I am in charge of picking a great new health care plan. Right? That’s what this is all about. Does that make me their doctor? Um… Yes, in a way. Yeah, like a specialist.",Michael
